1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	64
3	J	64
2	E	68
1	J	68
1	R	68
4	N	69
4	J	69
1	W	69
3	R	69
3	J	75
4	R	75
4	J	80
3	R	80
3	W	80
4	R	80
5	N	107
5	J	108
4	W	108
5	R	108
4	J	110
5	E	111
4	R	111
4	W	116
0	R	116
0	W	116
4	J	494
4	R	494
4	W	495
0	R	495
4	J	537
4	R	537
4	W	537
0	R	537
4	J	648
4	R	648
4	W	648
0	R	648
4	J	694
4	R	694
4	W	694
0	R	694
4	J	738
4	R	738
4	W	738
0	R	738
4	J	785
4	R	785
4	W	785
0	R	785
4	J	820
4	R	820
4	W	820
0	R	820
4	J	863
4	R	863
4	W	863
0	R	863
4	J	1257
4	R	1257
4	W	1258
0	R	1258
4	J	1303
4	R	1303
4	W	1303
0	R	1303
4	J	1545
4	R	1545
4	W	1545
0	R	1545
4	J	1585
4	R	1585
4	W	1585
0	R	1585
4	J	1658
4	R	1658
4	W	1658
0	R	1658
4	J	1668
4	R	1668
4	W	1668
0	R	1668
4	J	2655
4	R	2655
4	W	2655
0	R	2655
4	J	2696
4	R	2696
4	W	2697
0	R	2697
4	J	2740
4	R	2740
4	W	2740
0	R	2740
3	J	3074
3	R	3074
3	W	3074
0	R	3074
4	J	3113
4	R	3113
4	W	3113
0	R	3113
4	J	3161
4	R	3161
4	W	3161
0	R	3161
4	J	3204
4	R	3204
4	W	3204
0	R	3204
4	J	3253
4	R	3253
4	W	3254
0	R	3254
4	J	3305
4	R	3305
4	W	3305
0	R	3305
4	J	3723
4	R	3723
4	W	3723
0	R	3723
4	J	3766
4	R	3766
4	W	3766
0	R	3766
4	J	3805
4	R	3805
4	W	3805
0	R	3806
4	J	3863
4	R	3863
4	W	3863
0	R	3863
4	J	3929
4	R	3929
6	N	3931
6	J	3932
4	J	3932
6	R	3932
7	N	3936
7	J	3937
6	J	3937
7	R	3937
7	J	3950
6	R	3950
6	W	3950
4	R	3950
4	W	3950
7	R	3950
7	E	3997
6	J	3997
6	R	3997
8	N	3998
8	J	3999
6	W	3999
8	R	3999
8	E	4113
6	J	4113
6	R	4113
9	N	4114
9	J	4114
6	W	4115
9	R	4115
9	E	4148
6	J	4148
6	R	4148
10	N	4150
10	J	4151
6	W	4151
10	R	4151
10	E	4232
6	J	4232
6	R	4232
6	E	4234
4	J	4234
4	R	4234
11	N	4235
11	J	4235
4	W	4235
11	R	4236
4	J	4238
11	E	4238
4	R	4238
4	W	4239
0	R	4239
4	J	4823
4	R	4823
4	W	4823
0	R	4823
4	J	4884
4	R	4884
4	W	4884
0	R	4884
4	J	4900
4	R	4900
4	W	4900
0	R	4900
4	J	4950
4	R	4950
4	W	4950
0	R	4950
4	J	5231
4	R	5231
4	W	5231
0	R	5231
4	J	5278
4	R	5278
4	W	5278
0	R	5278
4	J	5284
4	R	5284
4	W	5289
0	R	5289
4	J	5322
4	R	5322
4	W	5322
0	R	5322
4	J	5395
4	R	5395
12	N	5396
12	J	5396
4	W	5397
12	R	5397
13	N	5398
13	J	5398
14	N	5399
14	J	5399
15	N	5399
15	J	5400
16	N	5400
16	J	5401
12	W	5401
16	R	5402
16	J	5407
15	R	5407
15	J	5412
14	R	5412
14	W	5412
13	R	5412
13	J	5417
16	R	5417
16	J	5422
15	R	5422
15	J	5427
13	R	5427
13	J	5432
16	R	5432
16	J	5437
15	R	5437
15	J	5442
13	R	5442
13	J	5447
16	R	5447
16	J	5452
15	R	5452
15	J	5457
13	R	5457
13	J	5462
16	R	5462
16	J	5467
15	R	5467
15	J	5472
13	R	5472
13	J	5477
16	R	5477
16	J	5482
15	R	5482
15	J	5487
13	R	5487
13	J	5492
16	R	5492
16	J	5497
15	R	5497
15	J	5502
